dataset,predictive,split_method,fold,pearson,kendall_tau,rmse,overlap
kinodata,scaffold,target,2,0.3937968175698272,0.25579946473560694,1.2169014840188646,64.41978353199069
kinodata,scaffold,target,3,0.40310134957015353,0.26769947359496477,1.210250898012913,50.55047294154132
kinodata,scaffold,target,4,0.28602758429247127,0.20210078117716565,1.3298457649642292,42.82055659894144
kinodata,scaffold,target,5,0.33487094837029185,0.21190831342033373,1.2514884221950495,48.6731843575419
kinodata,scaffold,target,6,0.4058314898318962,0.2491877811911318,1.1441034048676149,60.34540019926935
kinodata,scaffold,target,7,0.4090118099881131,0.27683199007369425,1.1832785193944373,59.78764767459249
kinodata,scaffold,target,8,0.4604923239939542,0.30082201860987196,1.193201347824981,57.77518928363424
kinodata,scaffold,target,9,0.4571522238935106,0.288567670521426,1.182377697270159,66.69935556178201
kinodata,scaffold,target,10,0.39134121420048307,0.22736608725289092,1.1795127030647283,55.536794709441395
kinodata,scaffold,butina,1,0.5063893599328134,0.33858713051638306,1.066036132587381,40.19756838905775
kinodata,scaffold,butina,2,0.48763570275805534,0.3359103303585035,1.1098106810609154,40.71762870514821
kinodata,scaffold,butina,3,0.49978773873469085,0.33304772383119785,1.0954725914355965,39.942577267353485
kinodata,scaffold,butina,4,0.48915120955524255,0.32536022461041025,1.114436359072033,38.99359215981907
kinodata,scaffold,butina,5,0.5203493670028868,0.350205548471759,1.11508043814396,39.681452303476625
kinodata,scaffold,butina,6,0.5373475076599435,0.3753652323877972,1.0656847296877896,40.83733699382292
kinodata,scaffold,butina,7,0.4912951656264049,0.3361075403319365,1.1147354849578395,41.034603285564486
kinodata,scaffold,butina,8,0.524276562303204,0.3473748285100511,1.0832364719472243,39.46340635082357
kinodata,scaffold,butina,9,0.5019317557668008,0.3315898436297516,1.0784083993291855,40.35087719298245
kinodata,scaffold,butina,10,0.48870746862261005,0.3300792242611207,1.1195314047594687,39.059304703476485
kinodata,target,random,1,0.35499894711298224,0.23461621555538179,1.1728283525770278,99.11764705882354
kinodata,target,random,2,0.3665290423169577,0.2463335998019262,1.1754320945551178,99.08256880733946
kinodata,target,random,3,0.3629348088682061,0.24562333998018498,1.171632763822717,99.70501474926253
kinodata,target,random,4,0.3626901697316256,0.24328282534587314,1.174346122791045,99.38837920489296
kinodata,target,random,5,0.35913724932155383,0.24129534875515124,1.1768875680451332,99.40298507462687
kinodata,target,random,6,0.37413771212843655,0.25035849234638013,1.166865632632202,99.38461538461539
kinodata,target,random,7,0.364345124471534,0.24365441086789308,1.1733034735551875,99.69879518072288
kinodata,target,random,8,0.36043409710419466,0.24053022333161544,1.1740534535056133,99.3993993993994
kinodata,target,random,9,0.3811035828762117,0.2546217926233906,1.1619416424170956,99.09909909909909
kinodata,target,random,10,0.3560898136413473,0.2387053363281697,1.1813916899092887,99.3975903614458
kinodata,target,scaffold,1,0.373947909301236,0.2547383370479666,1.2168707795761866,99.36708860759494
kinodata,target,scaffold,2,0.30371687850059725,0.20719425785929801,1.1849395898310406,99.37304075235109
kinodata,target,scaffold,3,0.3517171636710479,0.2371779807863061,1.191207398882214,99.09638554216868
kinodata,target,scaffold,4,0.3376758646761437,0.22403199918850875,1.1628723387375135,99.06542056074767
kinodata,target,scaffold,5,0.39207398900181445,0.26622748112288114,1.183431544747728,98.64864864864865
kinodata,target,scaffold,6,0.32285653095812017,0.21455628312180042,1.1637002349898558,99.69696969696969
kinodata,target,scaffold,7,0.3439292327503996,0.22949702818281456,1.1718079525453247,99.68553459119497
kinodata,target,scaffold,8,0.30885097254447014,0.2057956337437215,1.1892919694259871,99.34640522875817
kinodata,target,scaffold,9,0.35407562686013905,0.2372791292593669,1.196619064904759,99.35691318327974
kinodata,target,scaffold,10,0.3644542704425892,0.2476971514602546,1.1590642719550477,98.47560975609755
kinodata,target,butina,1,0.38247218644026154,0.26038141134810827,1.1332141208541098,99.66996699669967
kinodata,target,butina,2,0.3676808156975777,0.24971326953472117,1.170672907020619,99.66666666666667
kinodata,target,butina,3,0.3315233808082823,0.22405556992067954,1.182894208034648,98.73417721518987
kinodata,target,butina,4,0.34747369695833424,0.23518475224715113,1.188361480569653,98.73015873015873
kinodata,target,butina,5,0.32050625935275795,0.21616457397185704,1.2274181079638864,97.93510324483776
kinodata,target,butina,6,0.3567220135698346,0.23838795269719137,1.1693464507015598,100.0
kinodata,target,butina,7,0.3420050465484341,0.22587658585504897,1.1947568625656193,100.0
kinodata,target,butina,8,0.35407542538586717,0.237365650752592,1.1811016711872688,98.09523809523809
kinodata,target,butina,9,0.29985884416488995,0.19635351879362034,1.1807489613275564,99.36708860759494
kinodata,target,butina,10,0.36985643463360596,0.24334562540134205,1.1817086957093093,99.35483870967742
