dataset,predictive,split_method,fold,pearson,kendall_tau,rmse,overlap
landrum,scaffold,butina,5,0.5212206218896718,0.3594788069124497,1.112886118277683,40.257754477937965
landrum,scaffold,butina,6,0.5132408704592474,0.3479705502860916,1.126479765215936,39.50032306698256
landrum,scaffold,butina,7,0.4944036583186332,0.33392756658949196,1.1321393043757142,39.956498096791734
landrum,scaffold,butina,8,0.5314181701655256,0.3786173091190298,1.0836291444734885,39.629980027331015
landrum,scaffold,butina,9,0.528558946217058,0.36887027987435256,1.112244640007627,40.19390873643165
landrum,scaffold,butina,10,0.5160184255240501,0.3535775360663988,1.1277937316466846,39.90635309141216
landrum,target,random,1,0.5709359295831595,0.38830385566408027,1.0618597964088055,100.0
landrum,target,random,2,0.5694149136800782,0.38530201684819,1.0592058627528622,100.0
landrum,target,random,3,0.5581203589821004,0.37788831691172514,1.059669725632346,100.0
landrum,target,random,4,0.5646351759939751,0.38177974481983606,1.0546375276636752,100.0
landrum,target,random,5,0.5639989255708422,0.38498980426402085,1.06854348804299,100.0
landrum,target,random,6,0.5625364048187746,0.3819027322663277,1.0707795678201282,100.0
landrum,target,random,7,0.5629363077949608,0.38043661549840796,1.0649898800034623,100.0
landrum,target,random,8,0.5677221438601475,0.3865351867405643,1.0619652778458155,100.0
landrum,target,random,9,0.5640979792335987,0.3853011561410748,1.0698483793590174,100.0
landrum,target,random,10,0.5709394589739826,0.3903653739785051,1.0544833015511381,100.0
landrum,target,scaffold,1,0.5179053212715328,0.3553130519445828,1.0889380550511234,100.0
landrum,target,scaffold,2,0.5297524884195277,0.35570056996139304,1.1015901990663994,99.92175273865415
landrum,target,scaffold,3,0.5401939360678014,0.36448408944390237,1.085425266439383,100.0
landrum,target,scaffold,4,0.5250676813119657,0.3537553930417205,1.0936291569249306,99.84101748807632
landrum,target,scaffold,5,0.5218806935756097,0.35636974590077275,1.1142408228945668,99.84051036682615
landrum,target,scaffold,6,0.5312864224587244,0.36045632224832624,1.0890284759169995,99.83948635634029
landrum,target,scaffold,7,0.555712498083877,0.3819617051782304,1.059510248520605,99.92313604919293
landrum,target,scaffold,8,0.564121252692496,0.38496977379211367,1.073040044070473,99.67741935483872
landrum,target,scaffold,9,0.5421426730425001,0.36449196025293606,1.0902610103650938,100.0
landrum,target,scaffold,10,0.5517401183243102,0.369339594818643,1.0754218080106148,99.9194847020934
landrum,target,butina,1,0.5338688641174414,0.3569931080043349,1.0948019236607172,99.91850040749797
landrum,target,butina,2,0.5322998821230848,0.360628870670719,1.0870526704702845,99.8372660699756
landrum,target,butina,3,0.5293278257629848,0.34990873852698384,1.0844443251425662,99.60317460317461
landrum,target,butina,4,0.5330355776318456,0.3646001441596806,1.0760354882723795,99.92069785884219
landrum,target,butina,5,0.5169396107309805,0.3468385096009045,1.1110855101628359,99.9203187250996
landrum,target,butina,6,0.5262065523643035,0.3598710538211612,1.107460563586406,99.75510204081633
landrum,target,butina,7,0.5320636214102333,0.3631220267492759,1.0914315606116267,100.0
landrum,target,butina,8,0.5155786663768478,0.3474903012587743,1.08954782058636,99.76322020520915
landrum,target,butina,9,0.5514108931156108,0.38043528481538513,1.086456453854061,99.83619983619984
landrum,target,butina,10,0.5319730877785561,0.360758736435108,1.1076819780944678,100.0
